"year","region_id","region_name","region_ons_code","link_length_km","link_length_miles","pedal_cycles","two_wheeled_motor_vehicles","cars_and_taxis","buses_and_coaches","LGVs","all_HGVs","all_motor_vehicles"
1998,7,"East of England","E12000006",39074.45,24279.74,3.59e+08,295200000,25241900000,285200000,3747100000,1965800000,31535300000
1998,8,"Yorkshire and the Humber","E12000003",31429,19529.08,228600000,180800000,18646600000,259400000,2.679e+09,1843400000,23609200000
1998,9,"South East","E12000008",47085.86,29257.8,4.27e+08,462200000,4.104e+10,436200000,5315600000,2389200000,49643300000
1998,10,"West Midlands","E12000005",32140.71,19971.31,191800000,190200000,22492900000,333900000,3122100000,1916100000,28055200000
1998,11,"North East","E12000001",15979.8,9929.39,85600000,6.1e+07,9.251e+09,196700000,1223900000,501700000,11234300000
1999,1,"South West","E12000009",49298.9,30632.92,229400000,337900000,21992300000,2.82e+08,2969500000,1555100000,27136900000
1999,2,"East Midlands","E12000004",31041.26,19288.14,205400000,199400000,18420900000,208700000,2583600000,1978900000,23391600000
1999,3,"Scotland","S92000003",59165.47,36763.72,147800000,150100000,19628500000,380800000,2893800000,1510800000,24564100000
1999,4,"Wales","W92000004",32889.09,20436.33,81600000,1.25e+08,12552800000,175700000,1806200000,818300000,15477900000
1999,5,"North West","E12000002",36457.91,22653.9,255400000,232200000,2.6464e+10,381100000,3382800000,2.146e+09,32606100000
1999,6,"London","E12000007",14568.8,9052.63,280900000,443300000,16643700000,329800000,2224200000,6.74e+08,2.0315e+10
1999,7,"East of England","E12000006",39155.7,24330.22,373200000,325200000,25732600000,295600000,3769800000,2033800000,32157200000
1999,8,"Yorkshire and the Humber","E12000003",31506.28,19577.09,234500000,195500000,18907100000,267300000,2711800000,1845700000,23927300000
1999,9,"South East","E12000008",47199.28,29328.27,440300000,508400000,4.1913e+10,429700000,5340700000,2.463e+09,50654800000
1999,10,"West Midlands","E12000005",32215.29,20017.65,197900000,207400000,22789800000,341200000,3155100000,1927100000,28420600000
1999,11,"North East","E12000001",16016.8,9952.38,88300000,68800000,9488200000,203100000,1.218e+09,525900000,11503900000
2000,1,"South West","E12000009",49382.7,30684.99,232900000,335900000,22145900000,274300000,3075400000,1525100000,27356700000
2000,2,"East Midlands","E12000004",31103.46,19326.79,208800000,205200000,18301700000,202500000,2641600000,1966700000,23317600000
2000,3,"Scotland","S92000003",59232.07,36805.1,150300000,155100000,19537500000,372200000,2.853e+09,1513900000,24431800000
2000,4,"Wales","W92000004",32952.99,20476.04,82200000,129600000,12451900000,1.72e+08,1822500000,794500000,15370600000
2000,5,"North West","E12000002",36530.41,22698.94,260500000,2.44e+08,26389300000,363300000,3410900000,2118200000,32525800000
2000,6,"London","E12000007",14603.8,9074.38,285100000,443200000,16579100000,320800000,2246900000,698400000,20288400000
2000,7,"East of England","E12000006",39222.4,24371.67,383700000,330300000,25542900000,295100000,3791900000,2066300000,32026500000
2000,8,"Yorkshire and the Humber","E12000003",31575.08,19619.85,241100000,203700000,18851400000,262100000,2747800000,1828500000,23893500000
2000,9,"South East","E12000008",47310.48,29397.37,447300000,503200000,41755300000,418800000,5451100000,2549900000,50678300000
2000,10,"West Midlands","E12000005",32274.69,20054.56,202500000,210800000,22674700000,322900000,3188100000,1950400000,28346900000
2000,11,"North East","E12000001",16047.7,9971.58,91400000,73500000,9.317e+09,1.9e+08,1206400000,527800000,11314600000
2001,1,"South West","E12000009",49461.9,30734.2,231900000,360300000,22726700000,276200000,3163100000,1.536e+09,28062300000
2001,2,"East Midlands","E12000004",31155.26,19358.98,209800000,214500000,1.8661e+10,203100000,2736900000,1958900000,23774400000
2001,3,"Scotland","S92000003",59317.77,36858.35,146400000,162400000,19824400000,375100000,2.897e+09,1489800000,24748600000
2001,4,"Wales","W92000004",33033.29,20525.93,8.1e+07,133300000,12597300000,170100000,1854400000,774400000,15529500000
2001,5,"North West","E12000002",36616.81,22752.63,265700000,2.52e+08,2.6759e+10,359100000,3474700000,2121200000,3.2966e+10
2001,6,"London","E12000007",14640.3,9097.06,303200000,470700000,16581800000,318600000,2275200000,683600000,20329900000
2001,7,"East of England","E12000006",39287.5,24412.12,390700000,342500000,25900300000,295500000,3930100000,2062400000,32530800000
2001,8,"Yorkshire and the Humber","E12000003",31636.18,19657.81,2.46e+08,213400000,19144100000,259800000,2842800000,1806600000,24266700000
2001,9,"South East","E12000008",47399.18,29452.48,457400000,533500000,42203500000,415600000,5573100000,2551200000,5.1277e+10
2001,10,"West Midlands","E12000005",32347.69,20099.92,205200000,2.18e+08,22874600000,322100000,3230900000,1922600000,28568100000
2001,11,"North East","E12000001",16072.7,9987.11,94800000,76700000,9396500000,186900000,1224400000,521400000,1.1406e+10
2002,1,"South West","E12000009",49543.7,30785.03,2.42e+08,389300000,23550300000,280600000,3279800000,1540500000,29040500000
2002,2,"East Midlands","E12000004",31207.26,19391.29,219700000,234600000,19256400000,207900000,2859100000,1970100000,24528100000
2002,3,"Scotland","S92000003",59404.67,36912.35,155300000,181500000,2.0584e+10,391200000,3000100000,1496300000,25653200000
2002,4,"Wales","W92000004",33080.49,20555.26,84600000,141600000,13023900000,171400000,1922700000,777900000,16037600000
2002,5,"North West","E12000002",36698.51,22803.4,273600000,265300000,27287900000,353800000,3531800000,2115500000,33554400000
2002,6,"London","E12000007",14678.82,9121,3.12e+08,471400000,16689500000,331600000,2253500000,669500000,20415500000
2002,7,"East of England","E12000006",39351.1,24451.64,409900000,356500000,26451300000,298900000,3925100000,2145700000,33177400000
2002,8,"Yorkshire and the Humber","E12000003",31700.36,19697.69,256300000,227900000,19654800000,260500000,2974200000,1823500000,24940900000
2002,9,"South East","E12000008",47491.88,29510.09,477600000,548900000,42867500000,403900000,5649200000,2579800000,52049300000
2002,10,"West Midlands","E12000005",32403.59,20134.66,213800000,233100000,23461200000,316600000,3304900000,1942900000,29258700000
2002,11,"North East","E12000001",16103.1,10006,98900000,81800000,9530700000,185300000,1261800000,521500000,11581100000
2003,1,"South West","E12000009",49628.64,30837.81,246100000,426800000,23835400000,289400000,3481200000,1523900000,29556600000
2003,2,"East Midlands","E12000004",31259.8,19423.94,222600000,264700000,19560500000,216500000,3041200000,1978900000,25061900000
2003,3,"Scotland","S92000003",59489.31,36964.94,154700000,203500000,20647100000,401600000,3.154e+09,1560100000,25966200000
2003,4,"Wales","W92000004",33131.6,20587.02,85200000,151200000,1.3099e+10,176600000,2012700000,767500000,1.6207e+10
2003,5,"North West","E12000002",36777.82,22852.68,276700000,2.94e+08,27173700000,359400000,3727100000,2132200000,33686400000
2003,6,"London","E12000007",14712.92,9142.18,3.37e+08,533100000,16445300000,361600000,2434500000,673600000,20448100000
2003,7,"East of England","E12000006",39423.32,24496.52,414400000,382200000,26457600000,306700000,4052800000,2.15e+09,33349300000
2003,8,"Yorkshire and the Humber","E12000003",31762.09,19736.05,261100000,251300000,19626200000,268700000,3107800000,1.831e+09,25084900000
2003,9,"South East","E12000008",47587.01,29569.2,489300000,594300000,42441800000,404300000,5878400000,2585800000,51904600000
2003,10,"West Midlands","E12000005",32437.71,20155.86,216600000,257500000,23225900000,325100000,3463700000,1951200000,29223400000
2003,11,"North East","E12000001",16132.47,10024.25,1e+08,88200000,9438500000,193200000,1309500000,523500000,11552900000
2004,1,"South West","E12000009",49299.24,30633.13,228100000,398700000,24119300000,275300000,3686500000,1551400000,30031300000
2004,2,"East Midlands","E12000004",30790.35,19132.24,204200000,243700000,19816400000,213100000,3206100000,2062500000,25541800000
2004,3,"Scotland","S92000003",56715.17,35241.17,137300000,188400000,20609600000,358200000,3235500000,1617100000,26008900000
2004,4,"Wales","W92000004",33179.39,20616.72,79800000,141100000,13393500000,166700000,2108700000,793900000,16603800000
2004,5,"North West","E12000002",36446.88,22647.04,253400000,260600000,27519900000,3.45e+08,3907200000,2201600000,34234300000
2004,6,"London","E12000007",14681.11,9122.42,324400000,498400000,16383700000,372400000,2428700000,680400000,20363500000
2004,7,"East of England","E12000006",39188.75,24350.76,384900000,347100000,26663500000,291400000,4276200000,2217400000,33795500000
2004,8,"Yorkshire and the Humber","E12000003",31854.97,19793.76,240200000,2.29e+08,1.9984e+10,262300000,3318800000,1896100000,25690300000
2004,9,"South East","E12000008",47290.71,29385.08,449300000,533600000,42446700000,390100000,6124400000,2644100000,52138900000
2004,10,"West Midlands","E12000005",32391.52,20127.16,200800000,229800000,23538400000,317200000,3630200000,2012900000,29728500000
2004,11,"North East","E12000001",15835.52,9839.74,92500000,80600000,9410300000,181800000,1373300000,522600000,11568800000
2005,1,"South West","E12000009",49215.31,30580.98,238200000,426100000,24521800000,273600000,3.855e+09,1.551e+09,30627500000
2005,2,"East Midlands","E12000004",30857.82,19174.16,2.14e+08,251900000,19841700000,208800000,3240800000,2054500000,25597700000
2005,3,"Scotland","S92000003",56863.38,35333.27,1.44e+08,190200000,20511500000,354400000,3346900000,1632100000,2.6035e+10
2005,4,"Wales","W92000004",33232.99,20650.02,84100000,149300000,13240500000,165100000,2167200000,795100000,16517200000
2005,5,"North West","E12000002",36530.88,22699.24,261500000,274200000,27219100000,3.45e+08,3.971e+09,2182100000,33991400000
2005,6,"London","E12000007",14741.26,9159.79,365200000,521500000,16355500000,374100000,2483300000,688300000,20422700000
2005,7,"East of England","E12000006",39136.23,24318.13,402800000,365400000,26485900000,283900000,4.42e+09,2165600000,33720800000
2005,8,"Yorkshire and the Humber","E12000003",31906.56,19825.82,2.49e+08,245400000,19985500000,2.6e+08,3440500000,1874900000,25806400000
2005,9,"South East","E12000008",47242.45,29355.1,468500000,564500000,42004400000,376500000,6258400000,2596500000,51800300000
2005,10,"West Midlands","E12000005",32439.25,20156.82,210900000,241200000,23594700000,315600000,3763900000,1956500000,29871800000
2005,11,"North East","E12000001",15840.17,9842.63,96200000,82600000,9291400000,175400000,1395700000,5.08e+08,11453100000
2006,1,"South West","E12000009",49943.19,31033.26,249200000,402800000,25085200000,293300000,4014900000,1532200000,31328600000
2006,2,"East Midlands","E12000004",31257.46,19422.49,223300000,236600000,20178700000,218500000,3336300000,2082500000,26052600000
2006,3,"Scotland","S92000003",59499.1,36971.03,1.54e+08,183500000,21086800000,368100000,3527500000,1682400000,26848200000
2006,4,"Wales","W92000004",33846.84,21031.45,87700000,142800000,13528600000,174900000,2249600000,7.91e+08,16886800000
2006,5,"North West","E12000002",36880.75,22916.64,273200000,256500000,27381800000,354500000,4118600000,2184400000,34295700000
2006,6,"London","E12000007",14745.6,9162.49,392600000,533100000,16333900000,400300000,2.743e+09,671300000,20681700000
2006,7,"East of England","E12000006",39799.53,24730.28,419100000,345900000,26769400000,296200000,4577700000,2164800000,34154100000
2006,8,"Yorkshire and the Humber","E12000003",32106.67,19950.16,258800000,231800000,20336300000,269300000,3576200000,1895600000,26309300000
2006,9,"South East","E12000008",47407.99,29457.96,485700000,5.3e+08,42108800000,396400000,6446900000,2603600000,52085800000
2006,10,"West Midlands","E12000005",32739.47,20343.36,218700000,227200000,23842600000,316500000,3859600000,1962900000,30208800000
2006,11,"North East","E12000001",16156.41,10039.13,99600000,77900000,9331900000,169400000,1439500000,502900000,11521600000
2007,1,"South West","E12000009",50062.86,31107.62,229400000,4.39e+08,2.5202e+10,304600000,4264600000,1565800000,3.1776e+10
2007,2,"East Midlands","E12000004",31204.46,19389.55,203200000,256600000,20293400000,2.25e+08,3514600000,2097200000,26386900000
2007,3,"Scotland","S92000003",59578.3,37020.24,141800000,197500000,21129100000,392900000,3751300000,1720200000,2.7191e+10
2007,4,"Wales","W92000004",33861.24,21040.4,80900000,151500000,13601500000,178700000,2348200000,810100000,1.709e+10
2007,5,"North West","E12000002",36912.95,22936.64,248200000,270500000,27362200000,353400000,4258700000,2.186e+09,34430800000
2007,6,"London","E12000007",14783.53,9186.06,364100000,569400000,16185100000,403100000,2823300000,660500000,20641400000
2007,7,"East of England","E12000006",39943.36,24819.65,383500000,365700000,26955400000,308600000,4.884e+09,2177800000,34691500000
2007,8,"Yorkshire and the Humber","E12000003",32134.77,19967.62,235500000,250100000,2.0435e+10,2.78e+08,3756500000,1900400000,26620100000
2007,9,"South East","E12000008",47422.19,29466.78,444600000,560200000,42045800000,384800000,6.69e+09,2633400000,52314200000
2007,10,"West Midlands","E12000005",32771.58,20363.32,199700000,246500000,23956400000,325200000,4039100000,1969800000,3.0537e+10
2007,11,"North East","E12000001",16195.91,10063.67,91200000,84600000,9331400000,176500000,1522900000,500200000,11615500000
2008,1,"South West","E12000009",49984.56,31058.97,259500000,420300000,25529900000,291500000,4351500000,1515800000,32109100000
2008,2,"East Midlands","E12000004",31221.46,19400.12,228500000,240100000,20135100000,209700000,3530400000,2010400000,26125700000
2008,3,"Scotland","S92000003",59642.3,37060.01,161400000,191400000,21016500000,381500000,3763200000,1701700000,27054300000
2008,4,"Wales","W92000004",33858.24,21038.53,91700000,145300000,13532500000,170500000,2366700000,797100000,17012200000
2008,5,"North West","E12000002",36901.15,22929.31,282900000,248500000,27180600000,324200000,4189700000,2200100000,34143100000
2008,6,"London","E12000007",14795.8,9193.68,385900000,493800000,16003800000,3.89e+08,2678700000,668100000,20233400000
2008,7,"East of England","E12000006",39653.06,24639.27,4.26e+08,337100000,26835100000,279900000,4.918e+09,2103600000,34473700000
2008,8,"Yorkshire and the Humber","E12000003",32095.57,19943.26,265600000,232500000,20213200000,254300000,3.671e+09,1868800000,26239900000
2008,9,"South East","E12000008",47305.69,29394.39,501300000,513100000,41366300000,353900000,6664200000,2542700000,51440300000
2008,10,"West Midlands","E12000005",32804.37,20383.69,225200000,225800000,23856400000,3e+08,3980100000,1920500000,30282900000
2008,11,"North East","E12000001",16194.81,10062.99,102200000,78700000,9162300000,163100000,1513700000,497600000,11415300000
2009,1,"South West","E12000009",49935.7,31028.61,274100000,428900000,25476800000,293600000,4290800000,1387500000,31877600000
2009,2,"East Midlands","E12000004",31286.8,19440.72,240500000,244600000,20176600000,209600000,3482800000,1822200000,25935800000
2009,3,"Scotland","S92000003",59389.51,36902.93,170300000,195700000,21044600000,384600000,3.693e+09,1582200000,26900200000
2009,4,"Wales","W92000004",33851.4,21034.28,96700000,146600000,1.3372e+10,169800000,2326900000,723900000,16739200000
2009,5,"North West","E12000002",36979.6,22978.06,296900000,253200000,27213800000,322200000,4072500000,2063400000,33925100000
2009,6,"London","E12000007",14800.6,9196.67,3.9e+08,490300000,1.6043e+10,389800000,2.562e+09,626600000,20111600000
2009,7,"East of England","E12000006",39605.2,24609.53,444400000,340500000,26837100000,275600000,4801400000,1.963e+09,34217700000
2009,8,"Yorkshire and the Humber","E12000003",32054,19917.43,278300000,236200000,20099800000,252600000,3575900000,1693600000,25858100000
2009,9,"South East","E12000008",47482.4,29504.2,525500000,525100000,40953500000,340200000,6547300000,2297200000,50663300000
2009,10,"West Midlands","E12000005",32835.3,20402.91,235900000,231400000,23667700000,295200000,3883600000,1752600000,29830400000
2009,11,"North East","E12000001",16197.1,10064.41,107500000,79400000,9057400000,159400000,1.47e+09,445300000,11211500000
2010,1,"South West","E12000009",49904,31008.91,279800000,378900000,25070700000,289500000,4354700000,1373800000,31467500000
2010,2,"East Midlands","E12000004",31302.9,19450.72,243900000,2.18e+08,19994900000,210300000,3562700000,1824200000,25810100000
2010,3,"Scotland","S92000003",59291.31,36841.91,177100000,178600000,20703100000,3.96e+08,3779800000,1583700000,26641200000
2010,4,"Wales","W92000004",33835.7,21024.53,99900000,130800000,13123800000,170600000,2370700000,712400000,16508300000
2010,5,"North West","E12000002",36960.5,22966.19,298100000,231700000,26677800000,335100000,4068100000,2066100000,33378700000
2010,6,"London","E12000007",14819.1,9208.16,395800000,452200000,15844200000,385700000,2535400000,634400000,1.9852e+10
2010,7,"East of England","E12000006",39609.2,24612.02,449300000,303100000,26074300000,2.72e+08,4805100000,1986500000,3.3441e+10
2010,8,"Yorkshire and the Humber","E12000003",31967.2,19863.5,279700000,212500000,19768300000,2.54e+08,3602500000,1706800000,25544100000
2010,9,"South East","E12000008",47553.8,29548.56,527800000,474300000,40288100000,342600000,6655700000,2320700000,50081400000
2010,10,"West Midlands","E12000005",32830.9,20400.18,238200000,209200000,23196300000,300100000,3950400000,1774700000,29430700000
2010,11,"North East","E12000001",16167.9,10046.27,107100000,71600000,8883500000,160800000,1486400000,4.41e+08,11043300000
2011,1,"South West","E12000009",49896.5,31004.25,287500000,392600000,2.5075e+10,264200000,4382400000,1351300000,31465400000
2011,2,"East Midlands","E12000004",31310.9,19455.69,250100000,224600000,20131200000,192900000,3495400000,1787300000,25831300000
2011,3,"Scotland","S92000003",59288.01,36839.86,180900000,182200000,20706200000,370700000,3789900000,1541700000,26590600000
2011,4,"Wales","W92000004",33829.7,21020.8,102100000,136500000,13198600000,155600000,2388400000,683400000,16562300000
2011,5,"North West","E12000002",36942.1,22954.76,307100000,233400000,26925100000,309800000,4262600000,1932300000,33663200000
2011,6,"London","E12000007",14800.1,9196.36,392100000,435300000,15525400000,3.74e+08,2529300000,631300000,19495300000
2011,7,"East of England","E12000006",39632,24626.18,461500000,312500000,26329200000,245400000,4861400000,1931300000,33679900000
2011,8,"Yorkshire and the Humber","E12000003",31959,19858.4,2.86e+08,2.19e+08,19894400000,234300000,3661800000,1669800000,25679300000
2011,9,"South East","E12000008",47614.7,29586.4,543500000,480200000,40656200000,319600000,6725600000,2265300000,50446900000
2011,10,"West Midlands","E12000005",32850.8,20412.54,244400000,210100000,23561600000,271800000,3963200000,1749100000,29755800000
2011,11,"North East","E12000001",16161.4,10042.23,110200000,7.2e+07,8955900000,147300000,1497700000,443800000,11116700000
2012,1,"South West","E12000009",49976.7,31054.08,310400000,3.4e+08,2.4968e+10,262900000,4502300000,1.324e+09,31397100000
2012,2,"East Midlands","E12000004",31357.63,19484.73,2.68e+08,198300000,20299300000,195400000,3593400000,1756600000,2.6043e+10
2012,3,"Scotland","S92000003",59384.08,36899.56,200400000,164100000,20847800000,379200000,3898800000,1537800000,26827800000
2012,4,"Wales","W92000004",33856.62,21037.53,112900000,122200000,13209400000,158400000,2453600000,671800000,16615400000
2012,5,"North West","E12000002",36991.59,22985.51,321300000,209200000,26744500000,309100000,4409100000,1812200000,33484100000
2012,6,"London","E12000007",14814.53,9205.32,395600000,409200000,15344900000,378500000,2552600000,655300000,19340500000
2012,7,"East of England","E12000006",39709.49,24674.33,492800000,273900000,26497800000,246900000,4946500000,1863500000,33828600000
2012,8,"Yorkshire and the Humber","E12000003",32015.05,19893.23,304100000,193900000,19752400000,235700000,3706100000,1.643e+09,25531100000
2012,9,"South East","E12000008",47700.09,29639.46,573100000,430600000,40645500000,318800000,6.894e+09,2.205e+09,50493900000
2012,10,"West Midlands","E12000005",32889.56,20436.63,2.61e+08,185400000,23609600000,273800000,4023300000,1745900000,29838100000
2012,11,"North East","E12000001",16198.59,10065.34,115300000,64100000,8999800000,149800000,1513800000,431800000,11159200000
2013,1,"South West","E12000009",50053.36,31101.72,303100000,354800000,25098500000,258800000,4560800000,1332900000,31605800000
2013,2,"East Midlands","E12000004",31426.16,19527.31,259900000,207900000,20313500000,193100000,3681900000,1795800000,26192300000
2013,3,"Scotland","S92000003",59474.19,36955.55,198100000,172400000,2.0903e+10,376100000,3962700000,1548500000,26962700000
2013,4,"Wales","W92000004",33893.85,21060.66,110600000,128500000,13345200000,157700000,2493400000,673500000,16798300000
2013,5,"North West","E12000002",37027.3,23007.7,311500000,214300000,26809900000,3.01e+08,4499800000,1809700000,33634700000
2013,6,"London","E12000007",14829.64,9214.71,374100000,3.92e+08,15295400000,363100000,2618500000,645500000,19314500000
2013,7,"East of England","E12000006",39765.44,24709.1,476300000,281400000,26653300000,242300000,4992200000,1891100000,34060200000
2013,8,"Yorkshire and the Humber","E12000003",32049.14,19914.41,293900000,202100000,19829600000,230200000,3779800000,1676500000,25718100000
2013,9,"South East","E12000008",47790.03,29695.35,553600000,438500000,40528600000,311600000,6983700000,2213100000,50475400000
2013,10,"West Midlands","E12000005",32928.15,20460.6,2.52e+08,190300000,23506900000,264100000,4115900000,1744600000,29821900000
2013,11,"North East","E12000001",16223.52,10080.83,111300000,65100000,8999200000,143600000,1537400000,429700000,1.1175e+10
2014,1,"South West","E12000009",50096.5,31128.52,337100000,368200000,25765300000,265300000,4840500000,1363100000,32602400000
2014,2,"East Midlands","E12000004",31445.2,19539.14,288400000,213300000,20736900000,195100000,3893100000,1837600000,26876100000
2014,3,"Scotland","S92000003",59407.69,36914.23,222500000,179200000,21308700000,377800000,4194100000,1540100000,27599800000
