Year,Total monitored spill events (thousands),Overflows monitored
2016,12.6,862
2017,33.2,2515
2018,146.9,6182
2019,292.9,8276
2020,403.4,12092
2021,372.5,12393
2022,301.1,13080
2023,464.1,14031
2024,450.4,14182
