year,exports-billions,imports-billions
2010,464.495,489.677
2011,522.107,535.370
2012,525.113,541.810
2013,540.436,563.771
2014,534.994,567.939
2015,537.513,563.867
2016,582.613,617.023
2017,649.590,675.643
2018,691.740,717.814
2019,718.759,745.746
2020,636.325,620.657
2021,680.291,679.352
2022,879.121,906.868
2023,878.278,910.419
2024,897.916,919.505
2025,925.541,971.472
