Year,Mean number of days with moderate or above pollution
2010,15.58181818
2011,23.55357143
2012,18.19642857
2013,15.25
2014,12.92727273
2015,10.21052632
2016,8.786885246
2017,7.609375
2018,8.850746269
2019,12.1375
2020,9.94047619
2021,4.4
2022,9.308510638
2023,8.571428571
2024,6.201923077
