Location,Year,Mean number of days with moderate or above pollution
Urban,2010,15.58181818
Urban,2011,23.55357143
Urban,2012,18.19642857
Urban,2013,15.25
Urban,2014,12.92727273
Urban,2015,10.21052632
Urban,2016,8.786885246
Urban,2017,7.609375
Urban,2018,8.850746269
Urban,2019,12.1375
Urban,2020,9.94047619
Urban,2021,4.4
Urban,2022,9.308510638
Urban,2023,8.571428571
Urban,2024,6.201923077
