year,england,scotland,wales,northern-ireland
2014,94.11,97.28,96.89,97.46
2015,94.37,97.22,97.03,96.36
2016,94.80,97.13,96.82,97.49
2017,95.00,96.88,96.72,97.43
2018,94.89,96.89,96.51,96.81
2019,94.47,96.76,96.76,96.68
2020,94.55,96.68,96.65,96.22
2021,94.27,96.62,96.62,95.98
2022,93.41,96.03,95.87,95.36
2023,92.49,95.25,95.22,94.19
2024,91.93,95.47,94.93,93.34
2025,91.80,95.30,95.20,93.80
