year,england,scotland,wales,northern-ireland
2014,88.32,93.03,92.56,92.42
2015,88.62,93.32,93.11,93.06
2016,88.23,93.08,91.59,93.00
2017,87.55,92.88,90.28,92.83
2018,87.17,92.09,89.46,92.38
2019,86.43,91.47,92.17,91.57
2020,86.81,91.52,92.12,90.28
2021,86.62,92.30,92.21,89.99
2022,85.69,92.20,90.63,89.36
2023,84.52,90.25,89.54,87.91
2024,83.91,89.16,88.95,85.64
2025,83.70,89.20,89.50,86.40
