Party name,Vote share
Labour,33.69989038
Conservative,23.70385785
Liberal Democrat,12.21528504
Scottish National Party,2.515704976
Sinn Féin,0.732023018
Reform UK,14.29262177
Democratic Unionist Party,0.597229926
Green Party,6.397661314
Plaid Cymru,0.676207785
Social Democratic & Labour Party,0.301502915
Alliance,0.406781273
Ulster Unionist Party,0.328987058
Traditional Unionist Voice,0.168990334
