date,EYR providers,Total number inspected,Outstanding,Good,Requires improvement,Inadequate,Outstanding,Good,Requires improvement,Inadequate
31 August 2025,"46,631","35,992","4,803","30,424",502,263,13,85,1,1
31 August 2024,"47,216","36,323","5,017","30,463",584,259,14,84,2,1
31 August 2023,"48,143","38,036","5,275","31,413",938,410,14,83,2,1
31 August 2022,"51,147","39,928","5,798","32,667",987,476,15,82,2,1
31 August 2021,"55,723","40,916","7,082","32,603",937,294,17,80,2,1
