Date,Region_Name,Average_Price
1968-04-01,England,3218
1968-04-01,Wales,2732
1968-04-01,Scotland,2738
1968-04-01,United Kingdom,3311
1968-05-01,England,3218
1968-05-01,Wales,2732
1968-05-01,Scotland,2738
1968-05-01,United Kingdom,3311
1968-06-01,Scotland,2738
1968-06-01,Wales,2732
1968-06-01,England,3218
1968-06-01,United Kingdom,3311
1968-07-01,England,3327
1968-07-01,Wales,2864
1968-07-01,Scotland,3001
1968-07-01,United Kingdom,3424
1968-08-01,Scotland,3001
1968-08-01,Wales,2864
1968-08-01,England,3327
1968-08-01,United Kingdom,3424
1968-09-01,Scotland,3001
1968-09-01,Wales,2864
1968-09-01,England,3327
1968-09-01,United Kingdom,3424
1968-10-01,Wales,2878
1968-10-01,England,3309
1968-10-01,Scotland,2811
1968-10-01,United Kingdom,3405
1968-11-01,England,3309
1968-11-01,Wales,2878
1968-11-01,Scotland,2811
1968-11-01,United Kingdom,3405
1968-12-01,Scotland,2811
1968-12-01,Wales,2878
1968-12-01,England,3309
1968-12-01,United Kingdom,3405
1969-01-01,Scotland,3031
1969-01-01,Wales,2878
1969-01-01,England,3364
1969-01-01,United Kingdom,3461
1969-02-01,England,3364
1969-02-01,Scotland,3031
1969-02-01,Wales,2878
1969-02-01,United Kingdom,3461
1969-03-01,Scotland,3031
1969-03-01,England,3364
1969-03-01,Wales,2878
1969-03-01,United Kingdom,3461
1969-04-01,Wales,2805
1969-04-01,Scotland,3060
1969-04-01,England,3419
1969-04-01,United Kingdom,3517
1969-05-01,England,3419
1969-05-01,Scotland,3060
1969-05-01,Wales,2805
1969-05-01,United Kingdom,3517
1969-06-01,Wales,2805
1969-06-01,England,3419
1969-06-01,Scotland,3060
1969-06-01,United Kingdom,3517
1969-07-01,Wales,2893
1969-07-01,Scotland,3031
1969-07-01,England,3474
1969-07-01,United Kingdom,3554
1969-08-01,England,3474
1969-08-01,Wales,2893
1969-08-01,Scotland,3031
1969-08-01,United Kingdom,3554
1969-09-01,Wales,2893
1969-09-01,England,3474
1969-09-01,Scotland,3031
1969-09-01,United Kingdom,3554
1969-10-01,Wales,3127
1969-10-01,England,3492
1969-10-01,Scotland,3001
1969-10-01,United Kingdom,3592
1969-11-01,Scotland,3001
1969-11-01,England,3492
1969-11-01,Wales,3127
1969-11-01,United Kingdom,3592
1969-12-01,England,3492
1969-12-01,Scotland,3001
1969-12-01,Wales,3127
1969-12-01,United Kingdom,3592
1970-01-01,Scotland,3104
1970-01-01,Wales,3010
1970-01-01,England,3510
1970-01-01,United Kingdom,3611
1970-02-01,Wales,3010
1970-02-01,Scotland,3104
1970-02-01,England,3510
1970-02-01,United Kingdom,3611
1970-03-01,England,3510
1970-03-01,Scotland,3104
1970-03-01,Wales,3010
1970-03-01,United Kingdom,3611
1970-04-01,Scotland,3294
1970-04-01,Wales,3127
1970-04-01,England,3565
1970-04-01,United Kingdom,3667
1970-05-01,Scotland,3294
1970-05-01,England,3565
1970-05-01,Wales,3127
1970-05-01,United Kingdom,3667
1970-06-01,England,3565
1970-06-01,Wales,3127
1970-06-01,Scotland,3294
1970-06-01,United Kingdom,3667
1970-07-01,Scotland,3236
1970-07-01,Wales,3273
1970-07-01,England,3730
1970-07-01,United Kingdom,3835
1970-08-01,England,3730
1970-08-01,Scotland,3236
1970-08-01,Wales,3273
1970-08-01,United Kingdom,3835
1970-09-01,Scotland,3236
1970-09-01,England,3730
1970-09-01,Wales,3273
1970-09-01,United Kingdom,3835
1970-10-01,Scotland,3353
1970-10-01,Wales,3214
1970-10-01,England,3730
1970-10-01,United Kingdom,3835
1970-11-01,Wales,3214
1970-11-01,Scotland,3353
1970-11-01,England,3730
1970-11-01,United Kingdom,3835
1970-12-01,England,3730
1970-12-01,Scotland,3353
1970-12-01,Wales,3214
1970-12-01,United Kingdom,3835
1971-01-01,Wales,3156
1971-01-01,Scotland,3294
1971-01-01,England,3839
1971-01-01,United Kingdom,3929
1971-02-01,England,3839
1971-02-01,Wales,3156
1971-02-01,Scotland,3294
1971-02-01,United Kingdom,3929
1971-03-01,England,3839
1971-03-01,Wales,3156
1971-03-01,Scotland,3294
1971-03-01,United Kingdom,3929
1971-04-01,Scotland,3353
1971-04-01,Wales,3360
1971-04-01,England,3949
1971-04-01,United Kingdom,4041
1971-05-01,Scotland,3353
1971-05-01,England,3949
1971-05-01,Wales,3360
1971-05-01,United Kingdom,4041
1971-06-01,Scotland,3353
1971-06-01,England,3949
1971-06-01,Wales,3360
1971-06-01,United Kingdom,4041
1971-07-01,Wales,3521
1971-07-01,Scotland,3719
1971-07-01,England,4168
1971-07-01,United Kingdom,4284
1971-08-01,England,4168
1971-08-01,Wales,3521
1971-08-01,Scotland,3719
1971-08-01,United Kingdom,4284
1971-09-01,Wales,3521
1971-09-01,England,4168
1971-09-01,Scotland,3719
1971-09-01,United Kingdom,4284
1971-10-01,England,4388
1971-10-01,Wales,3506
1971-10-01,Scotland,3558
1971-10-01,United Kingdom,4471
1971-11-01,Scotland,3558
1971-11-01,England,4388
1971-11-01,Wales,3506
1971-11-01,United Kingdom,4471
1971-12-01,Scotland,3558
1971-12-01,Wales,3506
1971-12-01,England,4388
1971-12-01,United Kingdom,4471
1972-01-01,Wales,3813
1972-01-01,Scotland,3733
1972-01-01,England,4644
1972-01-01,United Kingdom,4752
1972-02-01,Scotland,3733
1972-02-01,England,4644
1972-02-01,Wales,3813
1972-02-01,United Kingdom,4752
1972-03-01,Wales,3813
1972-03-01,England,4644
1972-03-01,Scotland,3733
1972-03-01,United Kingdom,4752
1972-04-01,Scotland,4114
1972-04-01,England,5119
1972-04-01,Wales,3959
1972-04-01,United Kingdom,5201
1972-05-01,England,5119
1972-05-01,Wales,3959
1972-05-01,Scotland,4114
1972-05-01,United Kingdom,5201
1972-06-01,Wales,3959
1972-06-01,Scotland,4114
1972-06-01,England,5119
1972-06-01,United Kingdom,5201
1972-07-01,Scotland,4363
1972-07-01,Wales,4412
1972-07-01,England,5905
1972-07-01,United Kingdom,5986
1972-08-01,Wales,4412
1972-08-01,England,5905
1972-08-01,Scotland,4363
1972-08-01,United Kingdom,5986
1972-09-01,Scotland,4363
1972-09-01,England,5905
1972-09-01,Wales,4412
1972-09-01,United Kingdom,5986
1972-10-01,Scotland,4392
1972-10-01,Wales,4953
1972-10-01,England,6563
1972-10-01,United Kingdom,6417
1972-11-01,England,6563
1972-11-01,Scotland,4392
1972-11-01,Wales,4953
1972-11-01,United Kingdom,6417
1972-12-01,England,6563
1972-12-01,Scotland,4392
1972-12-01,Wales,4953
1972-12-01,United Kingdom,6417
1973-01-01,England,7075
1973-01-01,Scotland,5066
1973-01-01,Wales,5347
1973-01-01,United Kingdom,7146
1973-02-01,Scotland,5066
1973-02-01,Wales,5347
1973-02-01,England,7075
1973-02-01,United Kingdom,7146
1973-03-01,Wales,5347
1973-03-01,England,7075
1973-03-01,Scotland,5066
1973-03-01,United Kingdom,7146
1973-04-01,Wales,5625
1973-04-01,Scotland,5256
1973-04-01,England,7423
1973-04-01,United Kingdom,7502
1973-05-01,Scotland,5256
1973-05-01,England,7423
1973-05-01,Wales,5625
1973-05-01,United Kingdom,7502
1973-06-01,Wales,5625
1973-06-01,England,7423
1973-06-01,Scotland,5256
1973-06-01,United Kingdom,7502
1973-07-01,Scotland,6120
1973-07-01,England,7898
1973-07-01,Wales,6268
1973-07-01,United Kingdom,8007
1973-08-01,England,7898
1973-08-01,Wales,6268
1973-08-01,Scotland,6120
1973-08-01,United Kingdom,8007
1973-09-01,Scotland,6120
1973-09-01,England,7898
1973-09-01,Wales,6268
1973-09-01,United Kingdom,8007
1973-10-01,Scotland,6046
1973-10-01,England,7971
1973-10-01,Wales,6560
1973-10-01,United Kingdom,8100
1973-11-01,England,7971
1973-11-01,Wales,6560
1973-11-01,Scotland,6046
1973-11-01,United Kingdom,8100
1973-12-01,Wales,6560
1973-12-01,Scotland,6046
1973-12-01,England,7971
1973-12-01,United Kingdom,8100
1974-01-01,England,8081
1974-01-01,Scotland,6237
1974-01-01,Wales,6297
1974-01-01,United Kingdom,8213
1974-02-01,England,8081
1974-02-01,Scotland,6237
1974-02-01,Wales,6297
1974-02-01,United Kingdom,8213
1974-03-01,England,8081
1974-03-01,Wales,6297
1974-03-01,Scotland,6237
1974-03-01,United Kingdom,8213
1974-04-01,England,8081
1974-04-01,Scotland,6398
1974-04-01,Wales,6385
1974-04-01,United Kingdom,8231
1974-05-01,England,8081
1974-05-01,Scotland,6398
1974-05-01,Wales,6385
1974-05-01,United Kingdom,8231
1974-06-01,Scotland,6398
1974-06-01,Wales,6385
1974-06-01,England,8081
1974-06-01,United Kingdom,8231
1974-07-01,England,8136
1974-07-01,Scotland,6456
1974-07-01,Wales,6618
1974-07-01,United Kingdom,8306
1974-08-01,Wales,6618
1974-08-01,Scotland,6456
1974-08-01,England,8136
1974-08-01,United Kingdom,8306
1974-09-01,Wales,6618
1974-09-01,England,8136
1974-09-01,Scotland,6456
1974-09-01,United Kingdom,8306
1974-10-01,England,8245
1974-10-01,Wales,6984
1974-10-01,Scotland,6442
1974-10-01,United Kingdom,8418
1974-11-01,Scotland,6442
1974-11-01,Wales,6984
1974-11-01,England,8245
1974-11-01,United Kingdom,8418
1974-12-01,England,8245
1974-12-01,Scotland,6442
1974-12-01,Wales,6984
1974-12-01,United Kingdom,8418
1975-01-01,England,8264
1975-01-01,Scotland,6691
1975-01-01,Wales,6823
1975-01-01,United Kingdom,8456
1975-02-01,Scotland,6691
1975-02-01,Wales,6823
1975-02-01,England,8264
1975-02-01,United Kingdom,8456
1975-03-01,Wales,6823
1975-03-01,England,8264
1975-03-01,Scotland,6691
1975-03-01,United Kingdom,8456
1975-04-01,Wales,6984
1975-04-01,Scotland,6983
1975-04-01,England,8501
1975-04-01,United Kingdom,8680
1975-05-01,England,8501
1975-05-01,Wales,6984
1975-05-01,Scotland,6983
1975-05-01,United Kingdom,8680
1975-06-01,Wales,6984
1975-06-01,England,8501
1975-06-01,Scotland,6983
1975-06-01,United Kingdom,8680
1975-07-01,England,8702
1975-07-01,Scotland,7525
1975-07-01,Wales,7422
1975-07-01,United Kingdom,8942
1975-08-01,England,8702
1975-08-01,Wales,7422
1975-08-01,Scotland,7525
1975-08-01,United Kingdom,8942
1975-09-01,Wales,7422
1975-09-01,England,8702
1975-09-01,Scotland,7525
1975-09-01,United Kingdom,8942
1975-10-01,Scotland,7657
1975-10-01,England,8812
1975-10-01,Wales,7276
1975-10-01,United Kingdom,9036
1975-11-01,England,8812
1975-11-01,Scotland,7657
1975-11-01,Wales,7276
1975-11-01,United Kingdom,9036
1975-12-01,Wales,7276
1975-12-01,Scotland,7657
1975-12-01,England,8812
1975-12-01,United Kingdom,9036
1976-01-01,Wales,7670
1976-01-01,England,8958
1976-01-01,Scotland,8096
1976-01-01,United Kingdom,9223
1976-02-01,England,8958
1976-02-01,Wales,7670
1976-02-01,Scotland,8096
1976-02-01,United Kingdom,9223
1976-03-01,England,8958
1976-03-01,Wales,7670
1976-03-01,Scotland,8096
1976-03-01,United Kingdom,9223
1976-04-01,England,9178
1976-04-01,Wales,7699
1976-04-01,Scotland,8579
1976-04-01,United Kingdom,9466
1976-05-01,England,9178
1976-05-01,Wales,7699
1976-05-01,Scotland,8579
1976-05-01,United Kingdom,9466
1976-06-01,Wales,7699
1976-06-01,England,9178
1976-06-01,Scotland,8579
1976-06-01,United Kingdom,9466
1976-07-01,England,9379
1976-07-01,Wales,7919
1976-07-01,Scotland,8887
1976-07-01,United Kingdom,9691
1976-08-01,England,9379
1976-08-01,Wales,7919
1976-08-01,Scotland,8887
1976-08-01,United Kingdom,9691
1976-09-01,Wales,7919
1976-09-01,England,9379
1976-09-01,Scotland,8887
1976-09-01,United Kingdom,9691
1976-10-01,Wales,8109
1976-10-01,England,9543
1976-10-01,Scotland,8901
1976-10-01,United Kingdom,9840
1976-11-01,Wales,8109
1976-11-01,Scotland,8901
1976-11-01,England,9543
1976-11-01,United Kingdom,9840
1976-12-01,England,9543
1976-12-01,Wales,8109
1976-12-01,Scotland,8901
1976-12-01,United Kingdom,9840
1977-01-01,England,9617
1977-01-01,Scotland,9018
1977-01-01,Wales,7933
1977-01-01,United Kingdom,9915
1977-02-01,England,9617
1977-02-01,Scotland,9018
1977-02-01,Wales,7933
1977-02-01,United Kingdom,9915
1977-03-01,Scotland,9018
1977-03-01,England,9617
1977-03-01,Wales,7933
1977-03-01,United Kingdom,9915
1977-04-01,Wales,8269
1977-04-01,England,9745
1977-04-01,Scotland,9180
1977-04-01,United Kingdom,10065
1977-05-01,Wales,8269
1977-05-01,England,9745
1977-05-01,Scotland,9180
