Date,Region_Name,Average_Price
1977-05-01,United Kingdom,10065
1977-06-01,Scotland,9180
1977-06-01,Wales,8269
1977-06-01,England,9745
1977-06-01,United Kingdom,10065
1977-07-01,England,10037
1977-07-01,Wales,8313
1977-07-01,Scotland,9619
1977-07-01,United Kingdom,10364
1977-08-01,Wales,8313
1977-08-01,England,10037
1977-08-01,Scotland,9619
1977-08-01,United Kingdom,10364
1977-09-01,Wales,8313
1977-09-01,England,10037
1977-09-01,Scotland,9619
1977-09-01,United Kingdom,10364
1977-10-01,Wales,8561
1977-10-01,England,10348
1977-10-01,Scotland,9853
1977-10-01,United Kingdom,10682
1977-11-01,England,10348
1977-11-01,Wales,8561
1977-11-01,Scotland,9853
1977-11-01,United Kingdom,10682
1977-12-01,Wales,8561
1977-12-01,Scotland,9853
1977-12-01,England,10348
1977-12-01,United Kingdom,10682
1978-01-01,England,10567
1978-01-01,Scotland,9765
1978-01-01,Wales,9117
1978-01-01,United Kingdom,10925
1978-02-01,Wales,9117
1978-02-01,England,10567
1978-02-01,Scotland,9765
1978-02-01,United Kingdom,10925
1978-03-01,Scotland,9765
1978-03-01,Wales,9117
1978-03-01,England,10567
1978-03-01,United Kingdom,10925
1978-04-01,Wales,9219
1978-04-01,England,11097
1978-04-01,Scotland,10278
1978-04-01,United Kingdom,11449
1978-05-01,Scotland,10278
1978-05-01,England,11097
1978-05-01,Wales,9219
1978-05-01,United Kingdom,11449
1978-06-01,England,11097
1978-06-01,Wales,9219
1978-06-01,Scotland,10278
1978-06-01,United Kingdom,11449
1978-07-01,Wales,9803
1978-07-01,England,11884
1978-07-01,Scotland,10980
1978-07-01,United Kingdom,12254
1978-08-01,Scotland,10980
1978-08-01,Wales,9803
1978-08-01,England,11884
1978-08-01,United Kingdom,12254
1978-09-01,Wales,9803
1978-09-01,Scotland,10980
1978-09-01,England,11884
1978-09-01,United Kingdom,12254
1978-10-01,Scotland,11522
1978-10-01,Wales,10315
1978-10-01,England,12743
1978-10-01,United Kingdom,13114
1978-11-01,Wales,10315
1978-11-01,England,12743
1978-11-01,Scotland,11522
1978-11-01,United Kingdom,13114
1978-12-01,Wales,10315
1978-12-01,Scotland,11522
1978-12-01,England,12743
1978-12-01,United Kingdom,13114
1979-01-01,Wales,10680
1979-01-01,England,13419
1979-01-01,Scotland,11815
1979-01-01,United Kingdom,13806
1979-02-01,Scotland,11815
1979-02-01,Wales,10680
1979-02-01,England,13419
1979-02-01,United Kingdom,13806
1979-03-01,Scotland,11815
1979-03-01,Wales,10680
1979-03-01,England,13419
1979-03-01,United Kingdom,13806
1979-04-01,Scotland,12313
1979-04-01,Wales,11790
1979-04-01,England,14480
1979-04-01,United Kingdom,14873
1979-05-01,Wales,11790
1979-05-01,Scotland,12313
1979-05-01,England,14480
1979-05-01,United Kingdom,14873
1979-06-01,England,14480
1979-06-01,Scotland,12313
1979-06-01,Wales,11790
1979-06-01,United Kingdom,14873
1979-07-01,Scotland,13425
1979-07-01,Wales,12784
1979-07-01,England,15540
1979-07-01,United Kingdom,16014
1979-08-01,England,15540
1979-08-01,Scotland,13425
1979-08-01,Wales,12784
1979-08-01,United Kingdom,16014
1979-09-01,England,15540
1979-09-01,Wales,12784
1979-09-01,Scotland,13425
1979-09-01,United Kingdom,16014
1979-10-01,England,16655
1979-10-01,Wales,13602
1979-10-01,Scotland,13396
1979-10-01,United Kingdom,17080
1979-11-01,Scotland,13396
1979-11-01,Wales,13602
1979-11-01,England,16655
1979-11-01,United Kingdom,17080
1979-12-01,Wales,13602
1979-12-01,Scotland,13396
1979-12-01,England,16655
1979-12-01,United Kingdom,17080
1980-01-01,Scotland,14040
1980-01-01,Wales,13719
1980-01-01,England,17350
1980-01-01,United Kingdom,17754
1980-02-01,England,17350
1980-02-01,Scotland,14040
1980-02-01,Wales,13719
1980-02-01,United Kingdom,17754
1980-03-01,Wales,13719
1980-03-01,Scotland,14040
1980-03-01,England,17350
1980-03-01,United Kingdom,17754
1980-04-01,Wales,14435
1980-04-01,Scotland,14157
1980-04-01,England,18063
1980-04-01,United Kingdom,18464
1980-05-01,Wales,14435
1980-05-01,England,18063
1980-05-01,Scotland,14157
1980-05-01,United Kingdom,18464
1980-06-01,Scotland,14157
1980-06-01,Wales,14435
1980-06-01,England,18063
1980-06-01,United Kingdom,18464
1980-07-01,Scotland,15167
1980-07-01,Wales,14844
1980-07-01,England,18630
1980-07-01,United Kingdom,19213
1980-08-01,Wales,14844
1980-08-01,England,18630
1980-08-01,Scotland,15167
1980-08-01,United Kingdom,19213
1980-09-01,Scotland,15167
1980-09-01,Wales,14844
1980-09-01,England,18630
1980-09-01,United Kingdom,19213
1980-10-01,Scotland,14933
1980-10-01,Wales,15574
1980-10-01,England,18813
1980-10-01,United Kingdom,19250
1980-11-01,Scotland,14933
1980-11-01,Wales,15574
1980-11-01,England,18813
1980-11-01,United Kingdom,19250
1980-12-01,England,18813
1980-12-01,Scotland,14933
1980-12-01,Wales,15574
1980-12-01,United Kingdom,19250
1981-01-01,England,18849
1981-01-01,Wales,15034
1981-01-01,Scotland,15358
1981-01-01,United Kingdom,19288
1981-02-01,England,18849
1981-02-01,Wales,15034
1981-02-01,Scotland,15358
1981-02-01,United Kingdom,19288
1981-03-01,Scotland,15358
1981-03-01,England,18849
1981-03-01,Wales,15034
1981-03-01,United Kingdom,19288
1981-04-01,Wales,15823
1981-04-01,Scotland,16134
1981-04-01,England,19343
1981-04-01,United Kingdom,19811
1981-05-01,Wales,15823
1981-05-01,Scotland,16134
1981-05-01,England,19343
1981-05-01,United Kingdom,19811
1981-06-01,Wales,15823
1981-06-01,Scotland,16134
1981-06-01,England,19343
1981-06-01,United Kingdom,19811
1981-07-01,Wales,17167
1981-07-01,Scotland,16295
1981-07-01,England,19599
1981-07-01,United Kingdom,20129
1981-08-01,Scotland,16295
1981-08-01,England,19599
1981-08-01,Wales,17167
1981-08-01,United Kingdom,20129
1981-09-01,England,19599
1981-09-01,Wales,17167
1981-09-01,Scotland,16295
1981-09-01,United Kingdom,20129
1981-10-01,Wales,15384
1981-10-01,England,19270
1981-10-01,Scotland,16368
1981-10-01,United Kingdom,19737
1981-11-01,Scotland,16368
1981-11-01,England,19270
1981-11-01,Wales,15384
1981-11-01,United Kingdom,19737
1981-12-01,England,19270
1981-12-01,Scotland,16368
1981-12-01,Wales,15384
1981-12-01,United Kingdom,19737
1982-01-01,Scotland,16295
1982-01-01,England,18740
1982-01-01,Wales,15472
1982-01-01,United Kingdom,19250
1982-02-01,Scotland,16295
1982-02-01,Wales,15472
1982-02-01,England,18740
1982-02-01,United Kingdom,19250
1982-03-01,Scotland,16295
1982-03-01,England,18740
1982-03-01,Wales,15472
1982-03-01,United Kingdom,19250
1982-04-01,Wales,16801
1982-04-01,Scotland,17027
1982-04-01,England,19526
1982-04-01,United Kingdom,20092
1982-05-01,Wales,16801
1982-05-01,England,19526
1982-05-01,Scotland,17027
1982-05-01,United Kingdom,20092
1982-06-01,Scotland,17027
1982-06-01,England,19526
1982-06-01,Wales,16801
1982-06-01,United Kingdom,20092
1982-07-01,Wales,17181
1982-07-01,England,20038
1982-07-01,Scotland,17173
1982-07-01,United Kingdom,20597
1982-08-01,Wales,17181
1982-08-01,England,20038
1982-08-01,Scotland,17173
1982-08-01,United Kingdom,20597
1982-09-01,Wales,17181
1982-09-01,England,20038
1982-09-01,Scotland,17173
1982-09-01,United Kingdom,20597
1982-10-01,Scotland,17729
1982-10-01,England,20312
1982-10-01,Wales,17254
1982-10-01,United Kingdom,20896
1982-11-01,Scotland,17729
1982-11-01,England,20312
1982-11-01,Wales,17254
1982-11-01,United Kingdom,20896
1982-12-01,England,20312
1982-12-01,Scotland,17729
1982-12-01,Wales,17254
1982-12-01,United Kingdom,20896
1983-01-01,England,21025
1983-01-01,Scotland,18154
1983-01-01,Wales,17094
1983-01-01,United Kingdom,21514
1983-02-01,Scotland,18154
1983-02-01,Wales,17094
1983-02-01,England,21025
1983-02-01,United Kingdom,21514
1983-03-01,England,21025
1983-03-01,Scotland,18154
1983-03-01,Wales,17094
1983-03-01,United Kingdom,21514
1983-04-01,England,21573
1983-04-01,Wales,17824
1983-04-01,Scotland,19472
1983-04-01,United Kingdom,22262
1983-05-01,Wales,17824
1983-05-01,England,21573
1983-05-01,Scotland,19472
1983-05-01,United Kingdom,22262
1983-06-01,Wales,17824
1983-06-01,England,21573
1983-06-01,Scotland,19472
1983-06-01,United Kingdom,22262
1983-07-01,Scotland,19032
1983-07-01,England,22487
1983-07-01,Wales,18993
1983-07-01,United Kingdom,23197
1983-08-01,Wales,18993
1983-08-01,Scotland,19032
1983-08-01,England,22487
1983-08-01,United Kingdom,23197
1983-09-01,England,22487
1983-09-01,Scotland,19032
1983-09-01,Wales,18993
1983-09-01,United Kingdom,23197
1983-10-01,Scotland,19911
1983-10-01,Wales,19285
1983-10-01,England,22670
1983-10-01,United Kingdom,23385
1983-11-01,Wales,19285
1983-11-01,Scotland,19911
1983-11-01,England,22670
1983-11-01,United Kingdom,23385
1983-12-01,England,22670
1983-12-01,Scotland,19911
1983-12-01,Wales,19285
1983-12-01,United Kingdom,23385
1984-01-01,England,23036
1984-01-01,Scotland,19325
1984-01-01,Wales,18555
1984-01-01,United Kingdom,23572
1984-02-01,Wales,18555
1984-02-01,England,23036
1984-02-01,Scotland,19325
1984-02-01,United Kingdom,23572
1984-03-01,England,23036
1984-03-01,Scotland,19325
1984-03-01,Wales,18555
1984-03-01,United Kingdom,23572
1984-04-01,England,23767
1984-04-01,Scotland,20204
1984-04-01,Wales,18701
1984-04-01,United Kingdom,24320
1984-05-01,England,23767
1984-05-01,Scotland,20204
1984-05-01,Wales,18701
1984-05-01,United Kingdom,24320
1984-06-01,England,23767
1984-06-01,Scotland,20204
1984-06-01,Wales,18701
1984-06-01,United Kingdom,24320
1984-07-01,England,24681
1984-07-01,Scotland,20936
1984-07-01,Wales,19285
1984-07-01,United Kingdom,25255
1984-08-01,England,24681
1984-08-01,Scotland,20936
1984-08-01,Wales,19285
1984-08-01,United Kingdom,25255
1984-09-01,England,24681
1984-09-01,Scotland,20936
1984-09-01,Wales,19285
1984-09-01,United Kingdom,25255
1984-10-01,England,25047
1984-10-01,Scotland,20789
1984-10-01,Wales,19577
1984-10-01,United Kingdom,25629
1984-11-01,England,25047
1984-11-01,Wales,19577
1984-11-01,Scotland,20789
1984-11-01,United Kingdom,25629
1984-12-01,Wales,19577
1984-12-01,Scotland,20789
1984-12-01,England,25047
1984-12-01,United Kingdom,25629
1985-01-01,England,25047
1985-01-01,Scotland,20643
1985-01-01,Wales,20308
1985-01-01,United Kingdom,25629
1985-02-01,Scotland,20643
1985-02-01,England,25047
1985-02-01,Wales,20308
1985-02-01,United Kingdom,25629
1985-03-01,Scotland,20643
1985-03-01,Wales,20308
1985-03-01,England,25047
1985-03-01,United Kingdom,25629
1985-04-01,Wales,20162
1985-04-01,Scotland,21668
1985-04-01,England,25961
1985-04-01,United Kingdom,26565
1985-05-01,England,25961
1985-05-01,Scotland,21668
1985-05-01,Wales,20162
1985-05-01,United Kingdom,26565
1985-06-01,Scotland,21668
1985-06-01,Wales,20162
1985-06-01,England,25961
1985-06-01,United Kingdom,26565
1985-07-01,Wales,20746
1985-07-01,England,26692
1985-07-01,Scotland,21521
1985-07-01,United Kingdom,27126
1985-08-01,Scotland,21521
1985-08-01,Wales,20746
1985-08-01,England,26692
1985-08-01,United Kingdom,27126
1985-09-01,England,26692
1985-09-01,Wales,20746
1985-09-01,Scotland,21521
1985-09-01,United Kingdom,27126
1985-10-01,Wales,20746
1985-10-01,England,27424
1985-10-01,Scotland,21961
1985-10-01,United Kingdom,28061
1985-11-01,England,27424
1985-11-01,Scotland,21961
1985-11-01,Wales,20746
1985-11-01,United Kingdom,28061
1985-12-01,Wales,20746
1985-12-01,England,27424
1985-12-01,Scotland,21961
1985-12-01,United Kingdom,28061
1986-01-01,Scotland,22107
1986-01-01,Wales,20892
1986-01-01,England,28155
1986-01-01,United Kingdom,28623
1986-02-01,Scotland,22107
1986-02-01,Wales,20892
1986-02-01,England,28155
1986-02-01,United Kingdom,28623
1986-03-01,Wales,20892
1986-03-01,Scotland,22107
1986-03-01,England,28155
1986-03-01,United Kingdom,28623
1986-04-01,Wales,21038
1986-04-01,England,29435
1986-04-01,Scotland,22693
1986-04-01,United Kingdom,29932
1986-05-01,England,29435
1986-05-01,Wales,21038
1986-05-01,Scotland,22693
1986-05-01,United Kingdom,29932
1986-06-01,Scotland,22693
1986-06-01,Wales,21038
1986-06-01,England,29435
1986-06-01,United Kingdom,29932
1986-07-01,Wales,22938
1986-07-01,England,30897
1986-07-01,Scotland,22693
1986-07-01,United Kingdom,31242
1986-08-01,Scotland,22693
1986-08-01,Wales,22938
1986-08-01,England,30897
1986-08-01,United Kingdom,31242
1986-09-01,Scotland,22693
1986-09-01,England,30897
1986-09-01,Wales,22938
1986-09-01,United Kingdom,31242
1986-10-01,Scotland,23132
1986-10-01,England,31994
1986-10-01,Wales,22645
1986-10-01,United Kingdom,32177
1986-11-01,England,31994
1986-11-01,Scotland,23132
1986-11-01,Wales,22645
1986-11-01,United Kingdom,32177
1986-12-01,Wales,22645
1986-12-01,England,31994
1986-12-01,Scotland,23132
1986-12-01,United Kingdom,32177
1987-01-01,Scotland,23571
1987-01-01,Wales,23376
1987-01-01,England,32908
1987-01-01,United Kingdom,33113
1987-02-01,Wales,23376
1987-02-01,England,32908
1987-02-01,Scotland,23571
1987-02-01,United Kingdom,33113
1987-03-01,England,32908
1987-03-01,Scotland,23571
1987-03-01,Wales,23376
1987-03-01,United Kingdom,33113
1987-04-01,England,34554
1987-04-01,Wales,23522
1987-04-01,Scotland,24303
1987-04-01,United Kingdom,34609
1987-05-01,Wales,23522
1987-05-01,England,34554
1987-05-01,Scotland,24303
1987-05-01,United Kingdom,34609
1987-06-01,Wales,23522
1987-06-01,England,34554
1987-06-01,Scotland,24303
1987-06-01,United Kingdom,34609
1987-07-01,Scotland,24010
1987-07-01,England,36199
1987-07-01,Wales,24545
1987-07-01,United Kingdom,36293
1987-08-01,Scotland,24010
1987-08-01,England,36199
1987-08-01,Wales,24545
1987-08-01,United Kingdom,36293
1987-09-01,Scotland,24010
1987-09-01,England,36199
1987-09-01,Wales,24545
1987-09-01,United Kingdom,36293
1987-10-01,Scotland,24964
1987-10-01,Wales,25545
1987-10-01,England,38489
1987-10-01,United Kingdom,38442
1987-11-01,Wales,25545
1987-11-01,England,38489
1987-11-01,Scotland,24964
1987-11-01,United Kingdom,38442
1987-12-01,England,38489
1987-12-01,Scotland,24964
1987-12-01,Wales,25545
1987-12-01,United Kingdom,38442
1988-01-01,Wales,25545
1988-01-01,Scotland,23888
1988-01-01,England,40335
1988-01-01,United Kingdom,40055
1988-02-01,Scotland,23888
1988-02-01,England,40335
1988-02-01,Wales,25545
1988-02-01,United Kingdom,40055
1988-03-01,England,40335
1988-03-01,Wales,25545
1988-03-01,Scotland,23888
1988-03-01,United Kingdom,40055
1988-04-01,England,42707
1988-04-01,Scotland,25609
1988-04-01,Wales,27193
