Month,1900,1925,1950,1975,2000,2025
Jan,6.0,7.1,6.2,8.1,7.2,5.9
Feb,4.3,6.7,7.1,6.8,8.1,7.4
Mar,6.0,7.3,10.3,6.9,9.9,11.4
Apr,11.6,10.3,10.2,10.7,10.6,14.9
May,13.4,14.0,14.3,13.0,15.4,17.4
Jun,17.7,18.5,19.1,18.4,17.3,19.7
Jul,20.3,19.9,18.7,19.9,18.2,21.3
Aug,18.0,18.3,18.4,21.6,19.6,20.9
Sep,17.0,14.1,15.0,15.8,17.1,16.9
Oct,11.9,12.9,11.9,12.6,12.5,13.3
Nov,8.6,6.3,7.5,8.6,8.7,10.1
Dec,8.7,4.8,3.0,7.3,7.0,8.4
