"Year ending","Total register","Effective register","Incorporations","Dissolved","Liquidations notified2","Insolvencies notified3"
"2023-24","5,350,759","4,876,374","890,684","663,167","33,952","24,662"
"2024-25","5,427,787","4,872,293","801,864","726,735","36,808","24,229"
