Year,UK total (thousand hectares)
2005,3021
2006,3030
2007,3041
2008,3048
2009,3054
2010,3059
2011,3067
2012,3110
2013,3126
2014,3143
2015,3155
2016,3159
2017,3164
2018,3175
2019,3198
2020,3215
2021,3223
2022,3246
2023,3258
2024,3271
2025,3286
